sample_id,source,from_phase_a,topical_llm,plausible_llm,contradictory_llm
musique_0978,musique,fail,yes,yes,yes
hotpotqa_0513,hotpotqa,fail,yes,yes,yes
squad_0366,squad,fail,yes,yes,yes
musique_0906,musique,fail,yes,yes,yes
squad_0495,squad,fail,yes,yes,yes
hotpotqa_0968,hotpotqa,fail,yes,yes,yes
hotpotqa_0165,hotpotqa,fail,yes,yes,yes
hotpotqa_0186,hotpotqa,fail,yes,yes,yes
squad_0336,squad,fail,yes,yes,yes
hotpotqa_0007,hotpotqa,fail,yes,yes,yes
musique_0176,musique,fail,yes,yes,yes
squad_0373,squad,fail,yes,yes,yes
squad_0368,squad,fail,yes,yes,yes
hotpotqa_0058,hotpotqa,fail,yes,yes,yes
hotpotqa_0474,hotpotqa,fail,yes,yes,yes
squad_0277,squad,fail,yes,yes,yes
hotpotqa_0174,hotpotqa,fail,yes,yes,yes
hotpotqa_0028,hotpotqa,fail,yes,yes,yes
squad_0499,squad,fail,yes,yes,yes
squad_0079,squad,fail,yes,yes,yes
hotpotqa_0577,hotpotqa,fail,yes,yes,yes
hotpotqa_0833,hotpotqa,fail,yes,yes,yes
hotpotqa_0053,hotpotqa,fail,yes,yes,yes
musique_0295,musique,fail,yes,yes,yes
musique_0097,musique,fail,yes,yes,yes
musique_0045,musique,fail,yes,yes,no
hotpotqa_0000,hotpotqa,fail,yes,yes,yes
musique_0036,musique,fail,yes,yes,yes
musique_0543,musique,fail,yes,yes,yes
hotpotqa_0173,hotpotqa,fail,yes,yes,yes
hotpotqa_0263,hotpotqa,fail,yes,yes,yes
squad_0328,squad,fail,yes,yes,yes
musique_0725,musique,fail,yes,no,yes
squad_0312,squad,fail,yes,yes,yes
musique_0214,musique,fail,yes,yes,yes
hotpotqa_0245,hotpotqa,fail,yes,yes,yes
squad_0400,squad,fail,yes,yes,yes
hotpotqa_0069,hotpotqa,fail,yes,yes,yes
hotpotqa_0827,hotpotqa,fail,yes,yes,yes
hotpotqa_0888,hotpotqa,fail,yes,yes,yes
musique_0436,musique,fail,yes,yes,yes
musique_0449,musique,fail,yes,yes,no
hotpotqa_0044,hotpotqa,fail,yes,yes,yes
squad_0431,squad,fail,yes,yes,yes
musique_0715,musique,fail,yes,yes,yes
squad_0316,squad,fail,yes,yes,yes
hotpotqa_0636,hotpotqa,fail,yes,yes,yes
hotpotqa_0237,hotpotqa,fail,yes,yes,yes
squad_0367,squad,fail,yes,yes,yes
hotpotqa_0530,hotpotqa,fail,yes,yes,yes
squad_0281,squad,fail,yes,yes,yes
hotpotqa_0668,hotpotqa,fail,yes,yes,yes
musique_0019,musique,fail,yes,yes,yes
hotpotqa_0261,hotpotqa,fail,yes,yes,yes
musique_0033,musique,fail,yes,yes,yes
musique_0671,musique,fail,yes,yes,yes
musique_0665,musique,fail,yes,yes,yes
hotpotqa_0251,hotpotqa,fail,yes,yes,yes
squad_0161,squad,fail,yes,yes,yes
musique_0396,musique,fail,yes,yes,yes
squad_0444,squad,fail,yes,yes,yes
hotpotqa_0432,hotpotqa,fail,yes,yes,yes
hotpotqa_0019,hotpotqa,fail,yes,yes,yes
hotpotqa_0700,hotpotqa,fail,yes,yes,yes
musique_0747,musique,fail,yes,yes,yes
squad_0082,squad,fail,yes,yes,yes
hotpotqa_0531,hotpotqa,fail,yes,yes,yes
squad_0477,squad,fail,yes,yes,yes
hotpotqa_0411,hotpotqa,fail,yes,yes,yes
squad_0274,squad,fail,yes,yes,yes
squad_0314,squad,fail,yes,yes,yes
hotpotqa_0814,hotpotqa,fail,yes,no,yes
squad_0323,squad,fail,yes,yes,yes
squad_0381,squad,fail,yes,yes,yes
squad_0384,squad,fail,yes,yes,no
squad_0479,squad,fail,yes,yes,yes
hotpotqa_0786,hotpotqa,fail,yes,yes,yes
hotpotqa_0828,hotpotqa,fail,yes,yes,yes
hotpotqa_0961,hotpotqa,fail,yes,yes,yes
hotpotqa_0984,hotpotqa,fail,yes,yes,yes
hotpotqa_0312,hotpotqa,fail,no,no,no
squad_0436,squad,fail,yes,yes,yes
hotpotqa_0163,hotpotqa,fail,yes,yes,no
hotpotqa_0868,hotpotqa,fail,yes,yes,yes
hotpotqa_0404,hotpotqa,fail,yes,yes,yes
musique_0477,musique,fail,yes,yes,yes
squad_0466,squad,fail,yes,no,yes
squad_0080,squad,fail,yes,yes,yes
squad_0375,squad,fail,yes,yes,yes
hotpotqa_0162,hotpotqa,fail,yes,yes,yes
squad_0342,squad,fail,yes,yes,yes
hotpotqa_0919,hotpotqa,fail,yes,yes,yes
hotpotqa_0651,hotpotqa,fail,yes,yes,yes
squad_0398,squad,fail,yes,yes,yes
musique_0888,musique,fail,yes,yes,yes
hotpotqa_0137,hotpotqa,fail,yes,yes,yes
hotpotqa_0435,hotpotqa,fail,yes,yes,yes
squad_0441,squad,fail,yes,yes,no
hotpotqa_0388,hotpotqa,fail,yes,yes,yes
squad_0493,squad,fail,yes,yes,yes
musique_0151,musique,fail,no,no,no
squad_0450,squad,fail,yes,yes,yes
hotpotqa_0197,hotpotqa,fail,yes,yes,yes
hotpotqa_0799,hotpotqa,fail,yes,yes,yes
squad_0405,squad,fail,yes,yes,yes
squad_0299,squad,fail,yes,yes,yes
hotpotqa_0022,hotpotqa,fail,yes,yes,yes
squad_0273,squad,fail,yes,yes,yes
squad_0300,squad,fail,yes,yes,yes
hotpotqa_0559,hotpotqa,fail,yes,yes,yes
squad_0287,squad,fail,yes,yes,yes
musique_0713,musique,fail,yes,yes,yes
squad_0475,squad,fail,yes,yes,yes
squad_0365,squad,fail,yes,yes,yes
hotpotqa_0923,hotpotqa,fail,yes,yes,yes
hotpotqa_0123,hotpotqa,fail,yes,yes,yes
hotpotqa_0048,hotpotqa,fail,yes,yes,yes
musique_0348,musique,fail,yes,yes,yes
squad_0055,squad,fail,yes,yes,yes
musique_0470,musique,fail,yes,yes,yes
musique_0675,musique,fail,yes,yes,yes
squad_0301,squad,fail,yes,yes,yes
hotpotqa_0550,hotpotqa,fail,yes,yes,yes
squad_0303,squad,fail,yes,yes,yes
musique_0621,musique,fail,yes,yes,yes
hotpotqa_0149,hotpotqa,fail,yes,yes,yes
hotpotqa_0265,hotpotqa,fail,yes,yes,yes
hotpotqa_0983,hotpotqa,fail,yes,yes,yes
hotpotqa_0085,hotpotqa,fail,yes,yes,yes
squad_0468,squad,fail,yes,yes,yes
squad_0271,squad,fail,yes,yes,yes
hotpotqa_0810,hotpotqa,fail,yes,yes,yes
squad_0272,squad,fail,yes,yes,yes
squad_0491,squad,fail,yes,yes,yes
squad_0437,squad,fail,yes,yes,yes
hotpotqa_0420,hotpotqa,fail,yes,yes,yes
musique_0859,musique,fail,yes,yes,yes
musique_0901,musique,fail,yes,yes,yes
hotpotqa_0392,hotpotqa,fail,yes,yes,yes
hotpotqa_0213,hotpotqa,fail,yes,yes,yes
squad_0290,squad,fail,yes,yes,yes
musique_0283,musique,fail,yes,yes,yes
squad_0371,squad,fail,yes,yes,yes
musique_0047,musique,pass-random,yes,yes,yes
musique_0361,musique,pass-random,yes,yes,yes
musique_0633,musique,pass-random,yes,yes,yes
hotpotqa_0200,hotpotqa,pass-random,yes,yes,yes
musique_0614,musique,pass-random,yes,yes,yes
squad_0379,squad,pass-random,yes,yes,yes
musique_0705,musique,pass-random,yes,yes,yes
hotpotqa_0691,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0492,hotpotqa,pass-random,yes,yes,yes
musique_0757,musique,pass-random,yes,yes,yes
hotpotqa_0394,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0001,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0195,hotpotqa,pass-random,yes,yes,yes
musique_0343,musique,pass-random,yes,yes,yes
hotpotqa_0358,hotpotqa,pass-random,yes,yes,yes
squad_0337,squad,pass-random,yes,yes,yes
hotpotqa_0328,hotpotqa,pass-random,yes,yes,yes
squad_0024,squad,pass-random,yes,yes,yes
musique_0826,musique,pass-random,yes,yes,yes
hotpotqa_0406,hotpotqa,pass-random,yes,yes,yes
squad_0254,squad,pass-random,yes,yes,yes
squad_0122,squad,pass-random,yes,yes,yes
musique_0559,musique,pass-random,yes,yes,yes
hotpotqa_0323,hotpotqa,pass-random,yes,yes,yes
squad_0192,squad,pass-random,yes,yes,yes
musique_0637,musique,pass-random,yes,yes,yes
musique_0641,musique,pass-random,yes,yes,yes
hotpotqa_0535,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0560,hotpotqa,pass-random,yes,yes,yes
musique_0114,musique,pass-random,yes,yes,yes
squad_0182,squad,pass-random,yes,yes,yes
musique_0868,musique,pass-random,yes,yes,yes
musique_0270,musique,pass-random,yes,yes,yes
squad_0307,squad,pass-random,yes,yes,yes
musique_0290,musique,pass-random,yes,yes,yes
squad_0346,squad,pass-random,yes,yes,yes
hotpotqa_0536,hotpotqa,pass-random,yes,yes,yes
musique_0550,musique,pass-random,yes,yes,yes
squad_0262,squad,pass-random,yes,yes,yes
hotpotqa_0147,hotpotqa,pass-random,yes,yes,yes
squad_0320,squad,pass-random,yes,yes,yes
hotpotqa_0745,hotpotqa,pass-random,yes,yes,yes
musique_0775,musique,pass-random,yes,yes,yes
hotpotqa_0653,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0091,hotpotqa,pass-random,yes,yes,yes
squad_0072,squad,pass-random,yes,yes,yes
squad_0264,squad,pass-random,yes,yes,yes
squad_0075,squad,pass-random,yes,yes,yes
hotpotqa_0963,hotpotqa,pass-random,yes,yes,yes
musique_0839,musique,pass-random,yes,yes,yes
musique_0306,musique,pass-random,yes,yes,yes
musique_0375,musique,pass-random,yes,yes,yes
hotpotqa_0699,hotpotqa,pass-random,yes,yes,yes
squad_0033,squad,pass-random,yes,yes,yes
hotpotqa_0306,hotpotqa,pass-random,yes,yes,yes
musique_0017,musique,pass-random,yes,yes,yes
musique_0467,musique,pass-random,yes,yes,yes
musique_0162,musique,pass-random,yes,yes,yes
hotpotqa_0120,hotpotqa,pass-random,yes,yes,yes
squad_0401,squad,pass-random,yes,yes,yes
musique_0603,musique,pass-random,yes,yes,yes
musique_0529,musique,pass-random,yes,yes,yes
hotpotqa_0426,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0766,hotpotqa,pass-random,yes,yes,yes
musique_0203,musique,pass-random,yes,yes,yes
hotpotqa_0056,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0341,hotpotqa,pass-random,yes,yes,yes
squad_0003,squad,pass-random,yes,yes,yes
hotpotqa_0247,hotpotqa,pass-random,yes,yes,yes
musique_0955,musique,pass-random,yes,yes,yes
musique_0544,musique,pass-random,yes,yes,yes
hotpotqa_0360,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0548,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0521,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0482,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0331,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0831,hotpotqa,pass-random,yes,yes,yes
musique_0530,musique,pass-random,yes,yes,yes
squad_0138,squad,pass-random,yes,yes,yes
musique_0003,musique,pass-random,yes,yes,yes
hotpotqa_0632,hotpotqa,pass-random,yes,yes,yes
musique_0414,musique,pass-random,yes,yes,yes
musique_0966,musique,pass-random,yes,yes,yes
musique_0567,musique,pass-random,yes,yes,yes
squad_0392,squad,pass-random,yes,yes,yes
hotpotqa_0214,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0010,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0571,hotpotqa,pass-random,yes,yes,yes
squad_0455,squad,pass-random,yes,yes,yes
musique_0659,musique,pass-random,yes,yes,yes
musique_0183,musique,pass-random,yes,yes,yes
hotpotqa_0904,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0736,hotpotqa,pass-random,yes,yes,yes
musique_0988,musique,pass-random,yes,yes,yes
musique_0355,musique,pass-random,yes,yes,yes
hotpotqa_0071,hotpotqa,pass-random,yes,yes,yes
musique_0485,musique,pass-random,yes,yes,yes
musique_0425,musique,pass-random,yes,yes,yes
musique_0963,musique,pass-random,yes,yes,yes
musique_0224,musique,pass-random,yes,yes,yes
musique_0427,musique,pass-random,yes,yes,yes
hotpotqa_0959,hotpotqa,pass-random,yes,no,yes
hotpotqa_0787,hotpotqa,pass-random,yes,yes,yes
squad_0396,squad,pass-random,yes,yes,yes
squad_0097,squad,pass-random,yes,yes,yes
squad_0333,squad,pass-random,yes,yes,yes
hotpotqa_0300,hotpotqa,pass-random,yes,yes,yes
musique_0339,musique,pass-random,yes,yes,yes
hotpotqa_0873,hotpotqa,pass-random,yes,yes,yes
squad_0317,squad,pass-random,yes,yes,yes
squad_0127,squad,pass-random,yes,yes,yes
musique_0972,musique,pass-random,yes,yes,yes
musique_0687,musique,pass-random,yes,yes,yes
musique_0138,musique,pass-random,yes,yes,yes
musique_0790,musique,pass-random,yes,yes,yes
hotpotqa_0005,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0951,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0537,hotpotqa,pass-random,yes,yes,yes
squad_0007,squad,pass-random,yes,yes,yes
hotpotqa_0996,hotpotqa,pass-random,yes,yes,yes
musique_0402,musique,pass-random,yes,yes,yes
musique_0428,musique,pass-random,yes,yes,yes
squad_0056,squad,pass-random,yes,yes,yes
musique_0942,musique,pass-random,yes,yes,yes
hotpotqa_0837,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0125,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0897,hotpotqa,pass-random,yes,yes,yes
musique_0883,musique,pass-random,yes,yes,yes
squad_0422,squad,pass-random,yes,yes,yes
hotpotqa_0220,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0964,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0027,hotpotqa,pass-random,yes,yes,yes
musique_0899,musique,pass-random,yes,yes,yes
musique_0122,musique,pass-random,yes,yes,yes
musique_0082,musique,pass-random,yes,yes,yes
squad_0395,squad,pass-random,yes,yes,yes
hotpotqa_0667,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0271,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0244,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0844,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0971,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0942,hotpotqa,pass-random,yes,yes,yes
musique_0870,musique,pass-random,yes,yes,yes
hotpotqa_0593,hotpotqa,pass-random,yes,yes,yes
musique_0113,musique,pass-random,yes,yes,yes
hotpotqa_0510,hotpotqa,pass-random,yes,yes,yes
squad_0139,squad,pass-random,yes,yes,yes
musique_0937,musique,pass-random,yes,yes,yes
squad_0081,squad,pass-random,yes,yes,yes
musique_0622,musique,pass-random,yes,yes,yes
hotpotqa_0877,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0538,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0759,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0626,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0969,hotpotqa,pass-random,yes,yes,yes
musique_0562,musique,pass-random,yes,yes,yes
squad_0205,squad,pass-random,yes,yes,yes
hotpotqa_0631,hotpotqa,pass-random,yes,yes,yes
musique_0535,musique,pass-random,yes,yes,yes
musique_0190,musique,pass-random,yes,yes,yes
musique_0858,musique,pass-random,yes,yes,yes
musique_0653,musique,pass-random,yes,yes,yes
hotpotqa_0278,hotpotqa,pass-random,yes,yes,yes
squad_0409,squad,pass-random,yes,yes,yes
hotpotqa_0184,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0336,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0644,hotpotqa,pass-random,yes,yes,yes
musique_0479,musique,pass-random,yes,yes,yes
musique_0166,musique,pass-random,yes,yes,yes
musique_0123,musique,pass-random,yes,yes,yes
musique_0720,musique,pass-random,yes,yes,yes
hotpotqa_0345,hotpotqa,pass-random,yes,yes,yes
musique_0677,musique,pass-random,yes,yes,yes
hotpotqa_0269,hotpotqa,pass-random,yes,yes,yes
squad_0474,squad,pass-random,yes,yes,yes
hotpotqa_0498,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0185,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0638,hotpotqa,pass-random,yes,yes,yes
musique_0488,musique,pass-random,yes,yes,yes
hotpotqa_0418,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0587,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0493,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0762,hotpotqa,pass-random,yes,yes,yes
musique_0882,musique,pass-random,yes,yes,yes
musique_0336,musique,pass-random,yes,yes,yes
musique_0678,musique,pass-random,yes,yes,yes
musique_0112,musique,pass-random,yes,yes,yes
hotpotqa_0716,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0193,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0248,hotpotqa,pass-random,yes,yes,yes
squad_0031,squad,pass-random,yes,yes,yes
musique_0484,musique,pass-random,yes,yes,yes
musique_0593,musique,pass-random,yes,yes,yes
musique_0418,musique,pass-random,yes,yes,yes
musique_0928,musique,pass-random,yes,yes,yes
musique_0528,musique,pass-random,yes,yes,yes
musique_0965,musique,pass-random,yes,yes,yes
hotpotqa_0086,hotpotqa,pass-random,yes,yes,yes
squad_0125,squad,pass-random,yes,yes,yes
musique_0164,musique,pass-random,yes,yes,yes
hotpotqa_0991,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0458,hotpotqa,pass-random,yes,yes,yes
squad_0034,squad,pass-random,yes,yes,yes
musique_0177,musique,pass-random,yes,yes,yes
hotpotqa_0647,hotpotqa,pass-random,yes,yes,yes
musique_0902,musique,pass-random,yes,yes,yes
musique_0959,musique,pass-random,yes,yes,yes
squad_0248,squad,pass-random,yes,yes,yes
hotpotqa_0395,hotpotqa,pass-random,yes,yes,yes
squad_0453,squad,pass-random,yes,yes,yes
hotpotqa_0817,hotpotqa,pass-random,yes,yes,yes
musique_0272,musique,pass-random,yes,yes,yes
musique_0445,musique,pass-random,yes,yes,yes
musique_0196,musique,pass-random,yes,yes,yes
musique_0406,musique,pass-random,yes,yes,yes
musique_0984,musique,pass-random,yes,yes,yes
squad_0004,squad,pass-random,yes,yes,yes
musique_0495,musique,pass-random,yes,yes,yes
squad_0461,squad,pass-random,yes,yes,yes
hotpotqa_0393,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0329,hotpotqa,pass-random,yes,yes,yes
musique_0681,musique,pass-random,yes,yes,yes
hotpotqa_0514,hotpotqa,pass-random,yes,yes,yes
squad_0074,squad,pass-random,yes,yes,yes
musique_0107,musique,pass-random,yes,yes,yes
musique_0145,musique,pass-random,yes,yes,yes
hotpotqa_0211,hotpotqa,pass-random,yes,yes,yes
squad_0065,squad,pass-random,yes,yes,yes
musique_0682,musique,pass-random,yes,yes,yes
hotpotqa_0987,hotpotqa,pass-random,yes,yes,yes
musique_0137,musique,pass-random,yes,yes,yes
hotpotqa_0684,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0600,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0081,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0903,hotpotqa,pass-random,yes,yes,yes
squad_0226,squad,pass-random,yes,yes,yes
musique_0374,musique,pass-random,yes,yes,yes
squad_0062,squad,pass-random,yes,yes,yes
squad_0224,squad,pass-random,yes,yes,yes
hotpotqa_0663,hotpotqa,pass-random,yes,yes,yes
musique_0142,musique,pass-random,yes,yes,yes
hotpotqa_0208,hotpotqa,pass-random,yes,yes,yes
musique_0503,musique,pass-random,yes,yes,yes
hotpotqa_0621,hotpotqa,pass-random,yes,yes,yes
squad_0148,squad,pass-random,yes,yes,yes
musique_0278,musique,pass-random,yes,yes,yes
musique_0958,musique,pass-random,yes,yes,yes
hotpotqa_0578,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0794,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0727,hotpotqa,pass-random,yes,yes,yes
squad_0385,squad,pass-random,yes,yes,yes
musique_0733,musique,pass-random,yes,yes,yes
musique_0258,musique,pass-random,yes,yes,yes
hotpotqa_0981,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0379,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0801,hotpotqa,pass-random,yes,yes,yes
musique_0865,musique,pass-random,yes,yes,yes
hotpotqa_0797,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0216,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0157,hotpotqa,pass-random,yes,yes,yes
musique_0540,musique,pass-random,yes,yes,yes
musique_0394,musique,pass-random,yes,yes,yes
squad_0011,squad,pass-random,yes,yes,yes
hotpotqa_0879,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0462,hotpotqa,pass-random,yes,yes,yes
squad_0109,squad,pass-random,yes,yes,yes
squad_0261,squad,pass-random,yes,yes,yes
hotpotqa_0776,hotpotqa,pass-random,yes,yes,yes
squad_0460,squad,pass-random,yes,yes,yes
squad_0091,squad,pass-random,yes,yes,yes
squad_0012,squad,pass-random,yes,yes,yes
hotpotqa_0549,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0260,hotpotqa,pass-random,yes,yes,yes
musique_0894,musique,pass-random,yes,yes,yes
musique_0692,musique,pass-random,yes,yes,yes
squad_0233,squad,pass-random,yes,yes,yes
musique_0329,musique,pass-random,yes,yes,yes
hotpotqa_0515,hotpotqa,pass-random,yes,yes,yes
musique_0356,musique,pass-random,yes,yes,yes
squad_0216,squad,pass-random,yes,yes,yes
squad_0218,squad,pass-random,yes,yes,yes
musique_0302,musique,pass-random,yes,yes,yes
musique_0334,musique,pass-random,yes,yes,yes
squad_0393,squad,pass-random,yes,yes,yes
hotpotqa_0532,hotpotqa,pass-random,yes,yes,yes
squad_0044,squad,pass-random,yes,yes,yes
musique_0099,musique,pass-random,yes,yes,yes
hotpotqa_0811,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0309,hotpotqa,pass-random,yes,yes,yes
hotpotqa_0135,hotpotqa,pass-random,yes,yes,yes
squad_0019,squad,pass-random,yes,yes,yes
hotpotqa_0620,hotpotqa,pass-random,yes,yes,yes
squad_0099,squad,pass-random,yes,yes,yes
musique_0776,musique,pass-random,yes,yes,yes
squad_0023,squad,pass-random,yes,yes,yes
musique_0576,musique,pass-random,yes,yes,yes
musique_0785,musique,pass-random,yes,yes,yes
musique_0184,musique,pass-random,yes,yes,yes
